round,noise,prob_end,A_cum_payoff,B_cum_payoff,A_last_1,B_last_1,A_last_2,B_last_2,A_last_3,B_last_3,A_last_4,B_last_4,A_last_5,B_last_5,A_last_6,B_last_6,A_last_7,B_last_7,A_next_move
7,0.0599,0.0125,21,16,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
8,0.0599,0.0125,21,21,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1
9,0.0599,0.0125,22,22,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
10,0.0599,0.0125,23,23,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
11,0.0599,0.0125,24,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,0.0599,0.0125,25,25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,0.0599,0.0125,26,26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,0.0599,0.0125,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0.0599,0.0125,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0599,0.0125,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0599,0.0125,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0599,0.0125,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0599,0.0125,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0599,0.0125,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0599,0.0125,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0599,0.0125,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0599,0.0125,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0599,0.0125,41,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0599,0.0125,41,41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26,0.0599,0.0125,42,42,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27,0.0599,0.0125,43,43,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28,0.0599,0.0125,44,44,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
29,0.0599,0.0125,45,45,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30,0.0599,0.0125,45,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
31,0.0599,0.0125,46,51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32,0.0599,0.0125,47,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,0.0599,0.0125,48,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0.0599,0.0125,49,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,0.0599,0.0125,50,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,0.0599,0.0125,51,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0.0599,0.0125,52,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0599,0.0125,53,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0599,0.0125,54,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0599,0.0125,55,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0599,0.0125,60,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.0599,0.0125,60,65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,0.0599,0.0125,61,66,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,0.01,0.0367,24,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.01,0.0367,27,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.01,0.0367,30,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0.01,0.0367,33,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.01,0.0367,36,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.01,0.0367,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.01,0.0367,42,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.01,0.0367,45,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.01,0.0367,48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.01,0.0367,51,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.01,0.0367,54,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.01,0.0367,57,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.01,0.0367,60,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.01,0.0367,63,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0.01,0.0367,66,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.01,0.0367,69,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.01,0.0367,72,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0.01,0.0367,75,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.01,0.0367,78,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.01,0.0367,81,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.01,0.0367,84,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.01,0.0367,87,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.01,0.0367,90,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.01,0.0367,93,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0.01,0.0367,96,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0.01,0.0367,99,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.01,0.0367,102,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.01,0.0367,105,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.01,0.0367,108,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.01,0.0367,111,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0.01,0.0367,114,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.01,0.0367,117,117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.01,0.0367,120,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.01,0.0367,123,123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.01,0.0367,126,126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0.01,0.0367,129,129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0.01,0.0367,132,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.01,0.0367,135,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
